Gear,mycellid,Lat,Lon,avg_eff_gear_yr,eff_smth
Lines_Longlines,-0.75_67.75,-0.75,67.75,344.763994710613,344.763994710613
Lines_Longlines,-0.75_68.25,-0.75,68.25,210.157037398646,210.157037398646
Lines_Longlines,-0.75_68.75,-0.75,68.75,187.762992221644,187.762992221644
Lines_Longlines,-0.75_69.25,-0.75,69.25,218.753609125082,218.753609125082
Lines_Longlines,-0.75_69.75,-0.75,69.75,314.379599441008,314.379599441008
Lines_Longlines,-0.75_70.25,-0.75,70.25,78.2566617088487,78.2566617088487
Lines_Longlines,-0.75_76.25,-0.75,76.25,28.1304676696448,28.1304676696448
Lines_Longlines,-0.75_76.75,-0.75,76.75,168.39942805928,168.39942805928
Lines_Longlines,-0.75_77.25,-0.75,77.25,251.928570272439,251.928570272439
Lines_Longlines,-0.75_77.75,-0.75,77.75,244.969303803229,244.969303803229
Lines_Longlines,-0.75_78.25,-0.75,78.25,199.671032986229,199.671032986229
Lines_Longlines,-0.75_78.75,-0.75,78.75,212.895531017517,212.895531017517
Lines_Longlines,-0.75_79.25,-0.75,79.25,199.93091431315,199.93091431315
Lines_Longlines,-0.75_79.75,-0.75,79.75,294.51246945149,294.51246945149
Lines_Longlines,-0.75_80.25,-0.75,80.25,207.566147715367,207.566147715367
Lines_Longlines,-0.75_80.75,-0.75,80.75,138.64184582576,138.64184582576
Lines_Longlines,-0.75_81.25,-0.75,81.25,110.920880614629,110.920880614629
Lines_Longlines,-0.75_81.75,-0.75,81.75,101.917026893242,101.917026893242
Lines_Longlines,-0.75_82.25,-0.75,82.25,74.9173615729406,74.9173615729406
Lines_Longlines,-0.75_82.75,-0.75,82.75,101.127483504434,101.127483504434
Lines_Longlines,-0.75_83.25,-0.75,83.25,173.525511802031,173.525511802031
Lines_Longlines,-0.75_83.75,-0.75,83.75,124.806930103494,124.806930103494
Lines_Longlines,-0.75_84.25,-0.75,84.25,122.354217637888,122.354217637888
Lines_Longlines,-0.75_84.75,-0.75,84.75,110.027310403014,110.027310403014
Lines_Longlines,-0.75_85.25,-0.75,85.25,112.28835980647,112.28835980647
Lines_Longlines,-0.75_85.75,-0.75,85.75,135.45673227475,135.45673227475
Lines_Longlines,-0.75_86.25,-0.75,86.25,100.665629454331,100.665629454331
Lines_Longlines,-0.75_86.75,-0.75,86.75,71.3870198483257,71.3870198483257
Lines_Longlines,-0.75_87.25,-0.75,87.25,67.6856273173045,67.6856273173045
Lines_Longlines,-0.75_87.75,-0.75,87.75,77.9962589661678,77.9962589661678
Lines_Longlines,-0.75_88.25,-0.75,88.25,93.7804849767448,93.7804849767448
Lines_Longlines,-0.75_88.75,-0.75,88.75,117.895807213952,117.895807213952
Lines_Longlines,-0.75_89.25,-0.75,89.25,121.166845870817,121.166845870817
Lines_Longlines,-0.75_89.75,-0.75,89.75,138.526509215564,138.526509215564
Lines_Longlines,-0.75_90.25,-0.75,90.25,190.015696024542,190.015696024542
Lines_Longlines,-0.75_90.75,-0.75,90.75,120.847677207182,120.847677207182
Lines_Longlines,-0.75_91.25,-0.75,91.25,155.31829409751,155.31829409751
Lines_Longlines,-0.75_91.75,-0.75,91.75,162.82213605463,162.82213605463
Lines_Longlines,-0.75_92.25,-0.75,92.25,109.150222093058,109.150222093058
Lines_Longlines,-0.75_92.75,-0.75,92.75,113.605510534846,113.605510534846
Lines_Longlines,-0.75_93.25,-0.75,93.25,212.185978122693,212.185978122693
Lines_Longlines,-0.75_93.75,-0.75,93.75,357.199345742189,357.199345742189
Lines_Longlines,-0.75_94.25,-0.75,94.25,617.975702435434,617.975702435434
Lines_Longlines,-0.75_94.75,-0.75,94.75,628.291917654336,628.291917654336
Lines_Longlines,-0.75_95.25,-0.75,95.25,480.736480885654,480.736480885654
Lines_Longlines,-0.75_95.75,-0.75,95.75,435.709245749296,435.709245749296
Lines_Longlines,-0.75_96.25,-0.75,96.25,378.553093586727,378.553093586727
Lines_Longlines,-0.75_96.75,-0.75,96.75,269.672108361736,269.672108361736
Lines_Longlines,-0.75_97.25,-0.75,97.25,1105.57839746525,1105.57839746525
Lines_Longlines,-0.75_97.75,-0.75,97.75,7039.08674593369,7039.08674593369
Lines_Longlines,-0.75_98.25,-0.75,98.25,23038.6824435091,12747.2444867368
Lines_Longlines,-0.75_98.75,-0.75,98.75,24998.5187974966,12747.2444867368
Lines_Longlines,-0.75_99.25,-0.75,99.25,19514.6103235668,12747.2444867368
Lines_Longlines,-0.75_99.75,-0.75,99.75,18319.6319680299,12747.2444867368
Lines_Longlines,-1.25_100.25,-1.25,100.25,22210.1682754424,12747.2444867368
Lines_Longlines,-1.25_42.25,-1.25,42.25,150.433753772181,150.433753772181
Lines_Longlines,-1.25_45.25,-1.25,45.25,7.67973619568486,7.67973619568486
Lines_Longlines,-1.25_45.75,-1.25,45.75,65.8299837805749,65.8299837805749
Lines_Longlines,-1.25_46.25,-1.25,46.25,225.149738032697,225.149738032697
Lines_Longlines,-1.25_46.75,-1.25,46.75,352.511336095273,352.511336095273
Lines_Longlines,-1.25_47.25,-1.25,47.25,240.72906866275,240.72906866275
Lines_Longlines,-1.25_47.75,-1.25,47.75,250.034817537324,250.034817537324
Lines_Longlines,-1.25_48.25,-1.25,48.25,320.279913186169,320.279913186169
Lines_Longlines,-1.25_48.75,-1.25,48.75,368.477776570587,368.477776570587
Lines_Longlines,-1.25_49.25,-1.25,49.25,268.237030104095,268.237030104095
Lines_Longlines,-1.25_49.75,-1.25,49.75,238.589990139756,238.589990139756
Lines_Longlines,-1.25_50.25,-1.25,50.25,233.899570076258,233.899570076258
Lines_Longlines,-1.25_50.75,-1.25,50.75,264.602526113658,264.602526113658
Lines_Longlines,-1.25_51.25,-1.25,51.25,290.731413897352,290.731413897352
Lines_Longlines,-1.25_51.75,-1.25,51.75,267.727184995318,267.727184995318
Lines_Longlines,-1.25_52.25,-1.25,52.25,256.559845065581,256.559845065581
Lines_Longlines,-1.25_52.75,-1.25,52.75,376.570215206443,376.570215206443
Lines_Longlines,-1.25_53.25,-1.25,53.25,267.629247623296,267.629247623296
Lines_Longlines,-1.25_53.75,-1.25,53.75,208.685207616325,208.685207616325
Lines_Longlines,-1.25_54.25,-1.25,54.25,297.80185146083,297.80185146083
Lines_Longlines,-1.25_54.75,-1.25,54.75,124.410598487622,124.410598487622
Lines_Longlines,-1.25_55.25,-1.25,55.25,120.201757004391,120.201757004391
Lines_Longlines,-1.25_55.75,-1.25,55.75,198.01629411556,198.01629411556
Lines_Longlines,-1.25_56.25,-1.25,56.25,236.758029291842,236.758029291842
Lines_Longlines,-1.25_56.75,-1.25,56.75,317.570453874755,317.570453874755
Lines_Longlines,-1.25_57.25,-1.25,57.25,251.356868270331,251.356868270331
Lines_Longlines,-1.25_57.75,-1.25,57.75,252.680653869924,252.680653869924
Lines_Longlines,-1.25_58.25,-1.25,58.25,217.438557840768,217.438557840768
Lines_Longlines,-1.25_58.75,-1.25,58.75,298.140734945115,298.140734945115
Lines_Longlines,-1.25_59.25,-1.25,59.25,398.844646701678,398.844646701678
Lines_Longlines,-1.25_59.75,-1.25,59.75,325.189053313748,325.189053313748
Lines_Longlines,-1.25_60.25,-1.25,60.25,236.769252486164,236.769252486164
Lines_Longlines,-1.25_60.75,-1.25,60.75,236.190308674395,236.190308674395
Lines_Longlines,-1.25_61.25,-1.25,61.25,273.746066397225,273.746066397225
Lines_Longlines,-1.25_61.75,-1.25,61.75,204.283125269224,204.283125269224
Lines_Longlines,-1.25_62.25,-1.25,62.25,175.269138669817,175.269138669817
Lines_Longlines,-1.25_62.75,-1.25,62.75,175.678291906071,175.678291906071
Lines_Longlines,-1.25_63.25,-1.25,63.25,182.02251122782,182.02251122782
Lines_Longlines,-1.25_63.75,-1.25,63.75,221.750012868328,221.750012868328
Lines_Longlines,-1.25_64.25,-1.25,64.25,355.785890897495,355.785890897495
Lines_Longlines,-1.25_64.75,-1.25,64.75,229.210658659783,229.210658659783
Lines_Longlines,-1.25_65.25,-1.25,65.25,186.586209187711,186.586209187711
Lines_Longlines,-1.25_65.75,-1.25,65.75,229.80049296214,229.80049296214
Lines_Longlines,-1.25_66.25,-1.25,66.25,261.846382523413,261.846382523413
Lines_Longlines,-1.25_66.75,-1.25,66.75,240.722377577669,240.722377577669
Lines_Longlines,-1.25_67.25,-1.25,67.25,268.748476018572,268.748476018572
Lines_Longlines,-1.25_67.75,-1.25,67.75,252.160101509277,252.160101509277
Lines_Longlines,-1.25_68.25,-1.25,68.25,210.67226952962,210.67226952962
