species_id,gear,encount_prob,E_scaled,sumA,A_scaled,sel0123,pcm,geomean
Fis-23071,GND,0.01666666666666666,1.0326819035000552,884.3969555,2.5071304021110974,3,3,2.1970831826372477
Fis-23071,PST,0.23333333333333336,1.485239823728861,384.3614051,1.6550018959741852,3,3,2.1687495280757476
Fis-23071,LLT,0.3333333333333333,1.6666000336866733,716.5571657,2.221108599784846,3,3,2.4024863139449044
ITS-Mam-180502,GND,0.01333333333333333,1.0260130285966655,850.2360791,2.448915628077984,2,2,1.7805192460082997
ITS-Mam-180502,LLT,0.26666666666666666,1.5332600370553404,631.9425797,2.0769138506157208,1,1,1.335852706619451
Fis-35514,GND,0.01054852320675105,1.0204415634875046,845.5969327,2.4410098923989505,3,3,2.1759556885855185
Fis-35514,PST,0.14767932489451477,1.306978738922664,367.5463845,1.6263468166041737,2,2,1.7075971430450996
Fis-35514,LLT,0.2109704641350211,1.421862065186126,628.0176345,2.070225210803472,1,2,1.557672899414358
Fis-30583,GND,0.01037344398340249,1.0200912890558964,1164.234048,2.984010822719132,3,3,2.28781280057182
Fis-30583,PST,0.14522821576763487,1.3018775489153325,441.8806018,1.7530224209527754,2,2,1.7382186283244467
Fis-30583,LLT,0.2074688796680498,1.4148585462706718,758.3028244,2.2922488732259563,1,2,1.5958835439842745
Fis-22747,GND,0.01,1.019344153693276,33.36144584,1.056850283155696,3,3,1.7645915836289383
Fis-22747,PST,0.14,1.2909967106296945,25.3521907,1.04320142436504,2,2,1.5234854981971147
Fis-22747,LLT,0.2,1.399920040424008,69.46771661,1.118380273470991,1,2,1.3302420776405708
ITS-Mam-180475,GND,0.2,1.3994700231864856,4.452242453,1.0075850733599798,3,3,1.8874348022468905
ITS-Mam-180475,PST,0.35714285714285715,1.7429092594726532,4.219808506,1.007188974338872,1,1,1.1510559523614323
ITS-Mam-180475,LLT,0.25,1.4999250378975075,9.418413812,1.0160481039944604,1,1,1.111081601497377
ITS-Mam-180463,GND,0.02,1.0393507784034448,549.2317196,1.9359633089953665,2,2,1.6843402028818304
ITS-Mam-180463,PST,0.28,1.5823613802784444,258.7154264,1.440884079658737,1,1,1.2288070077319717
ITS-Mam-180463,LLT,0.4,1.799940030318006,473.1319463,1.80627895737754,2,1,1.5968650416365198
ITS-Mam-180505,GND,0.01,1.019344153693276,53.82630786,1.0917251881248542,2,2,1.452524744450817
