gear,x,y,nspp_S_cell,S_sum_cell
GND,26.75,-43.4346,41,0.0251601910014015
GND,26.75,-42.9346,44,0.0295875816240263
GND,26.75,-42.4346,44,0.0312803938147587
GND,26.75,-41.9346,44,0.0370948970221836
GND,26.75,-41.4346,44,0.0563959840041023
GND,26.75,-40.9346,47,0.0594807989861856
GND,26.75,-40.4346,47,0.0470147834312784
GND,26.75,-39.9346,50,0.0883548696291599
GND,26.75,-39.4346,50,0.183706792978695
GND,26.75,-38.9346,53,0.193139142727291
GND,26.75,-38.4346,53,0.119057762844459
GND,26.75,-37.9346,55,0.09066848437952
GND,26.75,-37.4346,55,0.0693909977882372
GND,26.75,-36.9346,57,0.0385054937448657
GND,26.75,-36.4346,57,0.0238097476142357
GND,26.75,-35.9346,56,0.0335382962199114
GND,26.75,-35.4346,56,0.0287116525347421
GND,26.75,-34.9346,57,3.76647338301217
GND,26.75,-34.4346,81,26.2367368765909
GND,26.75,-33.9346,94,38.8926289452462
GND,27.25,-44.9346,32,0.00388075041534843
GND,27.25,-44.4346,32,0.011960841148855
GND,27.25,-43.9346,41,0.0161098329934334
GND,27.25,-43.4346,41,0.0181670941472682
GND,27.25,-42.9346,44,0.0355470530073609
GND,27.25,-42.4346,44,0.0302151699190037
GND,27.25,-41.9346,44,0.0304195276306449
GND,27.25,-41.4346,44,0.0596675882086837
GND,27.25,-40.9346,47,0.0606017025906074
GND,27.25,-40.4346,47,0.0377291914583313
GND,27.25,-39.9346,50,0.0350866221764384
GND,27.25,-39.4346,50,0.0552291344937376
GND,27.25,-38.9346,53,0.104232333101639
GND,27.25,-38.4346,53,0.133918399429765
GND,27.25,-37.9346,55,0.104265023277828
GND,27.25,-37.4346,55,0.0752971989653348
GND,27.25,-36.9346,56,0.0416123740547726
GND,27.25,-36.4346,56,0.0182844609137284
GND,27.25,-35.9346,56,0.0153793099773008
GND,27.25,-35.4346,56,0.0151307354043673
GND,27.25,-34.9346,57,2.04189347743035
GND,27.25,-34.4346,59,12.2601024983855
GND,27.25,-33.9346,94,34.9286899630657
GND,27.25,-33.4346,92,28.0701229799898
GND,27.75,-44.9346,32,0.00575813794267054
GND,27.75,-44.4346,32,0.00961942644843982
GND,27.75,-43.9346,41,0.0165957863855475
GND,27.75,-43.4346,41,0.0278171340073339
GND,27.75,-42.9346,44,0.0303597919688857
GND,27.75,-42.4346,44,0.025209629719025
GND,27.75,-41.9346,44,0.0303076157769823
GND,27.75,-41.4346,44,0.0530608857011571
GND,27.75,-40.9346,47,0.0716573112165441
GND,27.75,-40.4346,47,0.0539548289615251
GND,27.75,-39.9346,50,0.043296112628981
GND,27.75,-39.4346,50,0.0649848183535989
GND,27.75,-38.9346,53,0.136396127609787
GND,27.75,-38.4346,53,0.141251557068771
GND,27.75,-37.9346,55,0.108938062367094
GND,27.75,-37.4346,55,0.085222909243039
GND,27.75,-36.9346,55,0.0442058073646828
GND,27.75,-36.4346,54,0.0140119736941945
GND,27.75,-35.9346,56,0.0125430548693287
GND,27.75,-35.4346,56,0.0161249593351693
GND,27.75,-34.9346,57,0.531385181838971
GND,27.75,-34.4346,57,5.23429500427734
