species_id,sumA,ncells_overlap,GEAR,A_scaled,ncells_spp,prop_exposure,avail123
Fis_161466,8.065913412719965,339,GND,1.0137432595839162,383,0.8851174934725848,3
Fis_161470,4.417169360589469,228,GND,1.0075253040478205,242,0.9421487603305785,3
Fis_161473,35.49825919659634,260,GND,1.0604917034040162,272,0.9558823529411765,3
Fis_161480,362.919888048547,1019,GND,1.6184626382435554,1372,0.7427113702623906,3
Fis_161488,146.53688964087632,549,GND,1.2497166139560054,621,0.8840579710144928,3
Fis_161491,140.17572287481744,500,GND,1.2388763216406404,567,0.8818342151675485,3
Fis_161493,66.82888411299791,181,GND,1.113883344435819,192,0.9427083333333334,3
Fis_161494,458.3947700198987,1271,GND,1.7811648071077195,1688,0.7529620853080569,3
Fis_161495,72.22426219691988,283,GND,1.1230778016372396,314,0.9012738853503185,3
Fis_161638,5.184888431394938,245,GND,1.0088336016368755,249,0.9839357429718876,3
Fis_163295,467.6377839090696,1142,GND,1.796916158411416,1516,0.7532981530343008,3
Fis_164471,5.1924518120940775,140,GND,1.0088464906650505,153,0.9150326797385621,3
Fis_164699,7.1088884910568595,52,GND,1.0121123591083507,52,1,3
Fis_165849,76.26138957733474,514,GND,1.129957615125477,680,0.7558823529411764,3
Fis_166044,59.55219287406112,3753,GND,1.1014828740473337,4320,0.86875,3
Fis_166734,426.165991573931,1142,GND,1.7262425904499916,1418,0.8053596614950634,3
Fis_166946,50.10919806943275,136,GND,1.0853907280968722,166,0.8192771084337349,3
Fis_169677,194.54803179454393,440,GND,1.331534122359853,678,0.6489675516224189,2
Fis_170052,10.787746018216126,298,GND,1.0183816320967234,451,0.6607538802660754,2
Fis_170784,11.679261451179627,102,GND,1.0199008955042714,103,0.9902912621359223,3
Fis_20033,800.5628171753109,17572,GND,2.3642656419943866,19180,0.9161626694473409,3
Fis_21798,492.46100172554,1613,GND,1.8392182937326111,2071,0.7788507967165621,3
Fis_21801,615.6841383152569,1258,GND,2.0492072579861405,1720,0.7313953488372092,3
Fis_22747,33.36144583976693,3424,GND,1.0568502831641002,3549,0.964778810932657,3
Fis_22768,61.07228848195308,9679,GND,1.104073323463748,9999,0.967996799679968,3
Fis_22814,5.500979935517535,60,GND,1.0093722645000118,60,1,3
Fis_23008,2.754130575573072,30,GND,1.0046912600391715,30,1,3
Fis_23028,5.444151280506048,182,GND,1.0092754207518648,201,0.9054726368159204,3
Fis_23029,7.933424522685527,240,GND,1.0135174805170672,255,0.9411764705882353,3
Fis_23044,564.5848130984034,1660,GND,1.9621270661219388,2148,0.7728119180633147,3
Fis_23045,719.0429659214319,1773,GND,2.225344741223124,2246,0.7894033837934105,3
Fis_23046,370.74408716719154,807,GND,1.6317961364364155,1151,0.7011294526498697,3
Fis_23047,567.8951663365406,1909,GND,1.967768357741582,2441,0.782056534207292,3
Fis_23048,480.387736006267,1210,GND,1.8186438088289432,1645,0.7355623100303952,3
Fis_23050,86.1133837742965,813,GND,1.1467467516018526,1097,0.7411121239744758,3
Fis_23051,570.2857297904447,1390,GND,1.971842202618126,1856,0.7489224137931034,3
Fis_23052,83.52802830003202,283,GND,1.1423409546606853,329,0.8601823708206687,3
Fis_23053,267.95769647807174,324,GND,1.456634163469984,438,0.7397260273972602,3
Fis_23054,733.1213412707766,13216,GND,2.2493362053247448,14823,0.8915873979626256,3
Fis_23055,22.960178579203784,140,GND,1.0391251107702004,168,0.8333333333333334,3
Fis_23056,216.0973848178728,606,GND,1.368257147328527,871,0.695752009184845,3
Fis_23057,404.10970133226147,608,GND,1.6886556755953188,814,0.7469287469287469,3
Fis_23059,368.8234527527238,1472,GND,1.6285231144815642,1908,0.7714884696016772,3
Fis_23060,556.334216486166,1660,GND,1.948066928675137,2158,0.7692307692307693,3
Fis_23061,833.5067334065461,17696,GND,2.420406550587598,19339,0.9150421428202079,3
Fis_23062,576.5667561329828,1278,GND,1.982545924764968,1711,0.7469316189362946,3
Fis_23063,569.1537324523379,1251,GND,1.9699131253754465,1628,0.7684275184275184,3
Fis_23064,579.474226444454,1950,GND,1.9875006491470988,2448,0.7965686274509803,3
Fis_23066,558.5145238380778,1935,GND,1.9517824685912064,2467,0.7843534657478719,3
Fis_23068,447.3743847187725,975,GND,1.7623845734673154,1383,0.7049891540130152,3
Fis_23070,494.4217667605735,1331,GND,1.8425597037165349,1791,0.7431602456728085,3
